-------------- Insert cercado-------------------------------------------------------------------------------------------------------------------
INSERT INTO tb_cercado (cd_ovelha, cd_cabra, cd_cavalo, cd_burro,dt_verificacao_cercado)  VALUE ('80 ',' 64 ',' 61 ',' 53 ',' 2022-01-09 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('3 ',' 76 ',' 52 ',' 54 ',' 2022-01-04 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('20 ',' 84 ',' 85 ',' 71 ',' 2022-01-04 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('43 ',' 18 ',' 9 ',' 29 ',' 2022-01-08 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('66 ',' 41 ',' 82 ',' 52 ',' 2022-01-28 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('76 ',' 36 ',' 93 ',' 39 ',' 2022-01-19 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('54 ',' 54 ',' 17 ',' 79 ',' 2022-01-26 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('20 ',' 84 ',' 39 ',' 46 ',' 2022-01-19 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('38 ',' 77 ',' 97 ',' 97 ',' 2022-01-31 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('70 ',' 22 ',' 31 ',' 14 ',' 2022-01-30 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('65 ',' 61 ',' 49 ',' 38 ',' 2022-01-10 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('35 ',' 92 ',' 21 ',' 30 ',' 2022-01-06 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('75 ',' 49 ',' 9 ',' 35 ',' 2022-01-18 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('37 ',' 60 ',' 39 ',' 65 ',' 2022-01-07 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('55 ',' 54 ',' 66 ',' 20 ',' 2022-01-22 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('5 ',' 60 ',' 8 ',' 1 ',' 2022-01-31 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('52 ',' 87 ',' 53 ',' 6 ',' 2022-01-29 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('75 ',' 83 ',' 92 ',' 28 ',' 2022-01-26 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('20 ',' 78 ',' 99 ',' 26 ',' 2022-01-19 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('47 ',' 65 ',' 74 ',' 30 ',' 2022-01-16 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('29 ',' 20 ',' 61 ',' 93 ',' 2022-01-08 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('64 ',' 97 ',' 43 ',' 51 ',' 2022-01-25 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('83 ',' 42 ',' 1 ',' 72 ',' 2022-01-17 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('82 ',' 33 ',' 41 ',' 93 ',' 2022-01-13 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('12 ',' 84 ',' 32 ',' 87 ',' 2022-01-15 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('66 ',' 0 ',' 49 ',' 44 ',' 2022-01-24 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('56 ',' 3 ',' 96 ',' 7 ',' 2022-01-19 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('33 ',' 49 ',' 64 ',' 98 ',' 2022-01-12 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('48 ',' 80 ',' 87 ',' 54 ',' 2022-01-18 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('52 ',' 85 ',' 63 ',' 89 ',' 2022-01-09 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('78 ',' 2 ',' 33 ',' 82 ',' 2022-01-07 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('79 ',' 7 ',' 21 ',' 83 ',' 2022-01-27 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('18 ',' 63 ',' 48 ',' 1 ',' 2022-01-16 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('74 ',' 77 ',' 24 ',' 77 ',' 2022-01-14 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('91 ',' 35 ',' 90 ',' 40 ',' 2022-01-22 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('14 ',' 43 ',' 3 ',' 22 ',' 2022-01-31 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('35 ',' 1 ',' 86 ',' 3 ',' 2022-01-10 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('27 ',' 6 ',' 49 ',' 26 ',' 2022-01-16 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('31 ',' 75 ',' 85 ',' 13 ',' 2022-01-15 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('98 ',' 34 ',' 49 ',' 1 ',' 2022-01-06 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('0 ',' 2 ',' 66 ',' 88 ',' 2022-01-19 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('95 ',' 51 ',' 85 ',' 93 ',' 2022-01-23 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('90 ',' 72 ',' 0 ',' 59 ',' 2022-01-20 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('71 ',' 59 ',' 14 ',' 78 ',' 2022-01-08 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('96 ',' 90 ',' 79 ',' 68 ',' 2022-01-11 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('28 ',' 85 ',' 20 ',' 31 ',' 2022-01-07 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('81 ',' 48 ',' 1 ',' 10 ',' 2022-01-18 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('47 ',' 85 ',' 64 ',' 97 ',' 2022-01-28 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('46 ',' 34 ',' 23 ',' 50 ',' 2022-01-24 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('40 ',' 33 ',' 56 ',' 62 ',' 2022-01-31 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('98 ',' 63 ',' 74 ',' 77 ',' 2022-01-16 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('3 ',' 50 ',' 41 ',' 76 ',' 2022-01-17 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('10 ',' 65 ',' 9 ',' 16 ',' 2022-01-04 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('43 ',' 90 ',' 59 ',' 46 ',' 2022-01-20 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('50 ',' 28 ',' 8 ',' 64 ',' 2022-01-10 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('30 ',' 19 ',' 34 ',' 23 ',' 2022-01-08 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('95 ',' 91 ',' 85 ',' 80 ',' 2022-01-20 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('45 ',' 64 ',' 15 ',' 15 ',' 2022-01-19 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('11 ',' 90 ',' 52 ',' 15 ',' 2022-01-26 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('53 ',' 53 ',' 74 ',' 66 ',' 2022-01-06 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('1 ',' 79 ',' 75 ',' 17 ',' 2022-01-05 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('40 ',' 50 ',' 24 ',' 20 ',' 2022-01-07 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('13 ',' 27 ',' 18 ',' 27 ',' 2022-01-24 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('20 ',' 77 ',' 60 ',' 90 ',' 2022-01-07 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('51 ',' 93 ',' 48 ',' 50 ',' 2022-01-29 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('75 ',' 79 ',' 3 ',' 17 ',' 2022-01-04 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('28 ',' 88 ',' 74 ',' 71 ',' 2022-01-06 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('97 ',' 42 ',' 94 ',' 0 ',' 2022-01-15 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('58 ',' 60 ',' 79 ',' 22 ',' 2022-01-23 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('25 ',' 37 ',' 56 ',' 88 ',' 2022-01-06 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('46 ',' 35 ',' 69 ',' 22 ',' 2022-01-28 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('51 ',' 5 ',' 30 ',' 27 ',' 2022-01-23 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('8 ',' 85 ',' 97 ',' 65 ',' 2022-01-02 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('27 ',' 47 ',' 47 ',' 79 ',' 2022-01-07 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('78 ',' 64 ',' 19 ',' 48 ',' 2022-01-25 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('6 ',' 26 ',' 41 ',' 28 ',' 2022-01-15 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('4 ',' 42 ',' 86 ',' 92 ',' 2022-01-21 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('85 ',' 73 ',' 75 ',' 76 ',' 2022-01-26 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('14 ',' 12 ',' 10 ',' 58 ',' 2022-01-19 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('98 ',' 72 ',' 27 ',' 36 ',' 2022-01-28 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('95 ',' 97 ',' 63 ',' 95 ',' 2022-01-04 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('53 ',' 96 ',' 49 ',' 50 ',' 2022-01-01 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('75 ',' 47 ',' 49 ',' 20 ',' 2022-01-05 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('72 ',' 51 ',' 85 ',' 79 ',' 2022-01-07 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('40 ',' 40 ',' 93 ',' 67 ',' 2022-01-08 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('14 ',' 96 ',' 54 ',' 30 ',' 2022-01-03 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('91 ',' 47 ',' 17 ',' 2 ',' 2022-01-12 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('88 ',' 8 ',' 25 ',' 58 ',' 2022-01-28 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('9 ',' 14 ',' 62 ',' 79 ',' 2022-01-23 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('78 ',' 52 ',' 91 ',' 7 ',' 2022-01-06 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('26 ',' 66 ',' 63 ',' 37 ',' 2022-01-29 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('6 ',' 5 ',' 32 ',' 8 ',' 2022-01-20 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('7 ',' 71 ',' 81 ',' 46 ',' 2022-01-13 ');
INSERT INTO tb_celeiro (cd_coelho,cd_vaca, cd_porco, cd_boi,dt_verificacao_celeiro)  VALUE ('7 ',' 74 ',' 87 ',' 19 ',' 2022-01-22 ');
